alimento,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,carga_glicemica,cantidad_sugerida,peso_bruto_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_g,categoria,cantidad,medida,acido_folico_g,vitamina_a_g,selenio_g,calcio_g,hierro_g,sodio_g,potasio_g,fosforo_g,zinc_g,acido_ascorbico_g
Agua quina,,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,taza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ate,13.0,13.0,42.0,0.0,0.1,9.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ate de guayaba,13.0,13.0,41.0,0.0,0.1,9.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ate de membrillo,13.0,13.0,41.0,0.0,0.1,9.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azúcar BC,2.0,2.0,40.0,0.0,0.0,10.0,0.0,0.0,5.0,,,0.0,0.0,0.0,0.0,azucares,1.0,cdta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azúcar blanca,2.0,2.0,33.0,0.0,0.0,8.4,0.0,0.0,6.0,,,0.0,0.0,0.0,0.0,azucares,1.0,cdta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azúcar de mesa,4.0,4.0,39.0,0.0,0.0,10.0,0.0,0.0,7.0,,,0.0,0.0,0.0,0.0,azucares,1.0,cdta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azúcar glass,2.0,2.0,33.0,0.0,0.0,8.4,0.0,0.0,6.0,,,0.0,0.0,0.0,0.0,azucares,1.0,cdta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azúcar granulada,2.0,2.0,36.0,0.0,0.0,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,cdta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azúcar mascabada,3.0,3.0,34.0,0.1,0.0,9.1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,cdta,0.0,0.0,0.0,0.0050999999999999995,0.0004,0.0001,0.0004,0.0002,0.0,0.0
Azúcar morena,2.0,2.0,33.0,0.0,0.0,8.7,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,cdta,0.0,0.0,0.0,0.0075,0.0004,0.0,0.0001,0.0,0.0,0.0
Bebida de almendra con azucar,34.0,34.0,54.0,1.0,0.0,9.4,0.1,8.6,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,taza,0.0,0.0,0.0,0.31860000000000005,0.0,0.012400000000000001,0.0025,0.0,0.0,0.0
Bebida de lichi,27.0,101.0,47.0,0.0,0.0,11.8,0.0,11.8,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,lata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
